ID,timestamp,timediff,X1,X2,X5,X7,X8
4795,29752,10,60.277,62.957,64.857,61.697,55.547
808,29756,11,60.277,62.177,64.857,61.697,55.237
2102,29759,10,60.277,62.177,64.857,61.697,55.237
6048,29759,11,60.277,62.177,64.857,61.697,55.237
3430,29761,10,60.277,62.177,64.857,61.697,55.237
4796,29763,11,60.127,62.177,64.857,61.697,55.237
809,29766,10,60.127,62.487,64.857,61.697,54.287
6049,29769,10,60.127,62.487,65.167,61.537,54.287
2103,29769,10,60.127,62.487,65.167,61.537,54.287
3431,29771,10,60.127,62.487,65.167,61.537,54.287
4797,29773,10,59.967,62.487,65.167,61.537,54.287
810,29776,10,59.967,61.857,65.167,61.537,53.187
6050,29779,10,59.967,61.857,65.327,62.957,53.187
2104,29780,11,59.967,61.857,65.327,62.957,53.187
3432,29782,11,59.487,61.857,65.327,62.957,53.187
4798,29783,10,59.487,61.857,65.327,62.957,53.187
811,29786,10,59.487,,65.327,62.957,
6051,29789,10,59.487,,64.697,,
3433,29792,10,59.807,,64.697,,
812,29797,11,59.807,61.537,64.697,,
2106,29800,10,59.807,61.537,64.377,62.327,
3434,29802,10,59.807,61.537,64.377,62.327,
4800,29804,11,60.127,61.537,64.377,62.327,
813,29807,10,60.127,62.017,64.377,62.327,53.817
6053,29810,10,60.127,62.017,64.377,62.017,53.817
2107,29810,10,60.127,62.017,64.377,62.017,53.817
3435,29812,10,60.127,62.017,64.377,62.017,53.817
4801,29814,10,61.067,62.017,64.377,62.017,53.817
814,29817,10,61.067,63.117,64.377,62.017,54.607
6054,29820,10,61.067,63.117,64.217,62.647,54.607
2108,29821,11,61.067,63.117,64.217,62.647,54.607
3436,29823,11,60.597,63.117,64.217,62.647,54.607
4802,29824,10,60.597,63.117,64.217,62.647,54.607
815,29828,11,60.597,62.807,64.217,62.647,55.397
6055,29830,10,60.597,62.807,64.697,62.957,55.397
2109,29831,10,60.597,62.807,64.697,62.957,55.397
3437,29833,10,60.597,62.807,64.697,62.957,55.397
4803,29834,10,61.697,62.807,64.697,62.957,55.397
816,29838,10,61.697,,64.697,62.957,57.287
6056,29841,11,61.697,,64.857,63.747,57.287
3438,29843,10,61.697,,64.857,63.747,57.287
4804,29845,11,,,64.857,63.747,57.287
817,29848,10,,62.487,64.857,63.747,56.337
2111,29851,10,,62.487,65.327,62.647,56.337
6057,29851,10,,62.487,65.327,62.647,56.337
3439,29854,11,,62.487,65.327,62.647,56.337
4805,29855,10,,62.487,65.327,62.647,56.337
6058,29861,10,,62.807,65.007,63.587,56.177
2112,29862,11,,62.807,65.007,63.587,56.177
