ID,timestamp,X1,X2,X5,X7,X8
781,29478,44.037,44.357,49.397,45.777,35.687
6023,29481,44.037,44.357,46.087,42.777,35.687
2075,29482,44.037,44.357,46.087,42.777,35.687
3403,29484,48.767,44.357,46.087,42.777,35.687
4769,29485,48.767,44.357,46.087,42.777,35.687
782,29489,48.767,52.867,46.087,42.777,43.727
2076,29492,48.767,52.867,53.347,53.497,43.727
6024,29492,48.767,52.867,53.347,53.497,43.727
3404,29494,48.767,52.867,53.347,53.497,43.727
4770,29496,56.657,52.867,53.347,53.497,43.727
783,29499,56.657,59.647,53.347,53.497,
6025,29502,56.657,59.647,58.857,59.807,
2077,29502,56.657,59.647,58.857,59.807,
3405,29504,56.657,59.647,58.857,59.807,
4771,29506,59.017,59.647,58.857,59.807,
784,29509,59.017,60.757,58.857,59.807,52.557
6026,29512,59.017,60.757,59.967,60.277,52.557
2078,29513,59.017,60.757,59.967,60.277,52.557
3406,29515,59.177,60.757,59.967,60.277,52.557
4772,29516,59.177,60.757,59.967,60.277,52.557
785,29520,59.177,61.227,59.967,60.277,
2079,29523,59.177,61.227,60.907,60.127,
3407,29525,59.177,61.227,60.907,60.127,
4773,29526,59.807,61.227,60.907,60.127,
786,29530,59.807,61.537,60.907,60.127,52.717
6027,29533,59.807,61.537,61.387,61.067,52.717
2080,29533,59.807,61.537,61.387,61.067,52.717
3408,29535,59.807,61.537,61.387,61.067,52.717
4774,29537,59.337,61.537,61.387,61.067,52.717
787,29540,59.337,,61.387,61.067,52.557
6028,29543,59.337,,,61.067,52.557
2081,29543,59.337,,,61.067,52.557
3409,29546,59.967,,,61.067,52.557
4775,29547,59.967,,,61.067,52.557
788,29550,59.967,62.017,,61.067,53.497
6029,29553,59.967,62.017,61.537,61.537,53.497
2082,29554,59.967,62.017,61.537,61.537,53.497
3410,29556,60.597,62.017,61.537,61.537,53.497
4776,29557,60.597,62.017,61.537,61.537,53.497
789,29561,60.597,62.017,61.537,61.537,
2083,29564,60.597,62.017,62.017,62.177,
3411,29566,60.597,62.017,62.017,62.177,
4777,29567,60.757,62.017,62.017,62.177,
790,29571,60.757,62.487,62.017,62.177,53.497
